Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name,Processed On
08 Jul 25,529.35,100200300,,INTER-BANK CREDIT,MC BBS007 5550001X MCARE BENEFITS JORDAN LEE,529.35,Refund,Medicare,08 Jul 25
07 Jul 25,-400.00,100200300,,TRANSFER DEBIT,JORDAN LEE D7043812689,0.00,Transfers out,,07 Jul 25
07 Jul 25,-1026.00,100200300,,TRANSFER DEBIT,ONLINE S6140389344 Linked Acc Trns LEE JL,400.00,Internal transfers,,07 Jul 25
07 Jul 25,-393.95,100200300,,TRANSFER DEBIT,ONLINE P2568038536 Linked Acc Trns LEE JL,1426.00,Internal transfers,,07 Jul 25
07 Jul 25,1026.00,100200300,,INTER-BANK CREDIT,MC BBS473 5550001X MCARE BENEFITS JORDAN LEE,1819.95,Refund,Medicare,07 Jul 25
04 Jul 25,793.95,100200300,,INTER-BANK CREDIT,MC BBS989 5550001X MCARE BENEFITS JORDAN LEE,793.95,Refund,Medicare,04 Jul 25
03 Jul 25,-200.00,100200300,,TRANSFER DEBIT,JORDAN LEE J7647806838,0.00,Transfers out,,03 Jul 25
03 Jul 25,200.00,100200300,,TRANSFER CREDIT,ONLINE L5088737572 Linked Acc Trns LEE JL,200.00,Internal transfers,,03 Jul 25
02 Jul 25,-2160.50,100200300,,TRANSFER DEBIT,ONLINE G8264575869 Linked Acc Trns LEE JL,0.00,Internal transfers,,02 Jul 25
02 Jul 25,628.65,100200300,,INTER-BANK CREDIT,MC BBS783 5550001X MCARE BENEFITS JORDAN LEE,2160.50,Refund,Medicare,02 Jul 25
01 Jul 25,-371.65,100200300,,TRANSFER DEBIT,JORDAN LEE W8679422937,1531.85,Transfers out,,01 Jul 25
01 Jul 25,80.75,100200300,,INTER-BANK CREDIT,DV BBE330 5550001X VTA BENEFITS JORDAN LEE,1903.50,Government payments,Department of Veterans' Affairs,01 Jul 25
01 Jul 25,578.70,100200300,,INTER-BANK CREDIT,MC BBS298 5550001X MCARE BENEFITS JORDAN LEE,1822.75,Refund,Medicare,01 Jul 25
